CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR
21018A031,369500.0,2023
21018A04-,335000.0,2023
21018A21-,298500.0,2023
21018A22-,405000.0,2023
21018A30-,295000.0,2023
21018A311,233000.0,2023
21018A33-,375000.0,2023
21018A3MJ,382500.0,2023
21018A41-,285000.0,2023
21018A42-,307000.0,2023
21018A62-,290000.0,2023
21018A72-,295000.0,2023
21019A10-,390000.0,2023
21019A131,420000.0,2023
21019A14-,283000.0,2023
21019A32-,270000.0,2023
21019A33-,270000.0,2023
21019A40-,640000.0,2023
21019A40-,640000.0,2023
21019A42-,450000.0,2023
21019A52-,422500.0,2023
23002A400,250000.0,2023
23002A400,270000.0,2023
23002E000,240000.0,2023
23002E01-,166000.0,2023
23003A012,465000.0,2023
23003B02-,615000.0,2023
23003B02-,600000.0,2023
23003C081,505000.0,2023
23003D00-,371500.0,2023
23003D00-,370000.0,2023
23003E00-,300000.0,2023
23003E00-,300000.0,2023
23016A001,384000.0,2023
23016A001,434500.0,2023
23016A001,274000.0,2023
23016A011,290000.0,2023
23016A20-,475500.0,2023
23016C03-,380500.0,2023
23016C03-,380500.0,2023
23016C210,435000.0,2023
23025A223,408500.0,2023
23025A425,412500.0,2023
23025A425,427500.0,2023
23025B112,390000.0,2023
23025B112,392500.0,2023
23025B112,230000.0,2023
23025B133,241000.0,2023
23027A00-,252500.0,2023
23027A042,371500.0,2023
23027A100,317500.0,2023
23027A100,337500.0,2023
23027A100,282000.0,2023
23027A152,315000.0,2023
23027B01-,352000.0,2023
23027B01-,353500.0,2023
23027C01-,276000.0,2023
23027C01-,282000.0,2023
23027C08-,327500.0,2023
23027C08-,327500.0,2023
23033A011,510000.0,2023
23044A001,335000.0,2023
23044A001,330000.0,2023
23044A01-,285000.0,2023
23044A01-,286500.0,2023
23044A10-,252000.0,2023
23044A10-,252000.0,2023
23045A010,400500.0,2023
23050A011,497500.0,2023
23052A00-,252500.0,2023
23052A011,274500.0,2023
23052A032,255000.0,2023
23060A010,325000.0,2023
23060A010,357000.0,2023
23062A421,695000.0,2023
23062A421,695000.0,2023
23077A09-,425000.0,2023
23077A20-,337000.0,2023
23077A20-,351000.0,2023
23077A30-,312500.0,2023
23077A30-,322125.0,2023
23077A30-,253250.0,2023
23077A31-,312500.0,2023
23077A31-,312500.0,2023
23077E00-,270000.0,2023
23077E00-,270000.0,2023
23086C000,320000.0,2023
23086C000,320000.0,2023
23086C10-,295000.0,2023
23086C10-,360000.0,2023
23088A01-,252500.0,2023
23088A200,341500.0,2023
23088A200,345000.0,2023
23088A211,357500.0,2023
23088A230,195250.0,2023
23088A301,364000.0,2023
23088A301,372000.0,2023
23088A40-,350000.0,2023
23088A40-,350000.0,2023
23088A422,375000.0,2023
23088A69-,344000.0,2023
23088A830,349500.0,2023
23088A830,350000.0,2023
23088A830,245000.0,2023
23088B000,323750.0,2023
23088B000,325000.0,2023
23094C041,530000.0,2023
23094C041,527500.0,2023
23094D222,211000.0,2023
23096B00-,327500.0,2023
23096D012,415000.0,2023
23097A102,380000.0,2023
23099A142,614000.0,2023
23099A211,756000.0,2023
23100A011,205000.0,2023
23101A02-,382500.0,2023
23101A02-,400000.0,2023
23101A030,410000.0,2023
23101A40-,781000.0,2023
23101A411,1087500.0,2023
23102A11-,265000.0,2023
23103A03-,618000.0,2023
23103A20-,747500.0,2023
23103A20-,635000.0,2023
23105C001,292500.0,2023
23105C001,300000.0,2023
23105C01-,297000.0,2023
23105C01-,350000.0,2023
24001A00-,242250.0,2023
24001A122,308000.0,2023
24001A212,262500.0,2023
24001A231,287500.0,2023
24001A231,295000.0,2023
24001C091,333000.0,2023
