CD_STAT_SECTOR,prop_type,total_sales
12007A021,2-3 facades house,144
12007A032,2-3 facades house,37
12007A043,2-3 facades house,34
12007A052,2-3 facades house,28
12007A073,2-3 facades house,21
12007A081,2-3 facades house,17
12007A09-,2-3 facades house,34
12007A100,2-3 facades house,72
12007A112,2-3 facades house,5
12007A122,2-3 facades house,66
12007A191,2-3 facades house,12
12007B00-,2-3 facades house,93
12007B012,2-3 facades house,28
12007B081,2-3 facades house,5
12007B09-,2-3 facades house,29
12007B100,2-3 facades house,115
12007B20-,2-3 facades house,39
12007B3MA,2-3 facades house,1
12007B3PA,2-3 facades house,5
